Annee;Mois;Prix_Ble;Prix_Mais;Prix_Orge;Prix_Sarrasin;Prix_Seigle;Prix_Tournesol;Prix_Moutarde;Temperature;Pression;Pluviometrie;Prix_Petrole;Valeur_Euro;Inflation;Prix_Eau;Prix_Gaz;Prix_Electricite
1999;8;95,0;85,0;75,0;435,0;85,0;160,0;540,0;20,3;1016,8;55,6;20,1;1,05;0,5;2,38;16,8;19,6
1999;9;100,0;90,0;80,0;440,0;92,0;170,0;550,0;18,9;1016,2;68,4;22,8;1,05;0,6;2,38;16,8;20,8
1999;10;105,0;95,0;85,0;445,0;98,0;180,0;560,0;13,3;1015,1;88,1;22,1;1,07;0,8;2,38;17,5;22,1
1999;11;110,0;100,0;90,0;450,0;105,0;190,0;570,0;7,7;1014,2;52,4;24,6;1,03;1,0;2,38;17,5;23,8
1999;12;115,0;105,0;95,0;455,0;110,0;200,0;580,0;5,3;1012,4;112,5;25,6;1,01;1,3;2,38;17,5;24,8
2000;1;118,0;108,0;98,0;455,0;112,0;205,0;585,0;4,8;1021,4;42,8;25,6;1,01;1,6;2,45;18,2;25,2
2000;2;120,0;110,0;100,0;455,0;115,0;210,0;590,0;7,3;1020,2;55,4;27,9;0,98;1,5;2,45;18,2;24,5
2000;3;122,0;112,0;102,0;455,0;118,0;215,0;595,0;9,4;1018,1;48,2;27,5;0,96;1,6;2,45;18,2;23,8
2000;4;125,0;115,0;105,0;460,0;120,0;220,0;600,0;10,9;1010,5;112,4;22,8;0,94;1,3;2,45;19,5;22,4
2000;5;128,0;118,0;108,0;460,0;122,0;225,0;610,0;16,1;1015,3;74,1;27,9;0,9;1,5;2,45;19,5;21,5
2000;6;130,0;120,0;110,0;465,0;125,0;230,0;620,0;18,7;1018,4;42,6;30,5;0,95;1,7;2,45;19,5;21,1
2000;7;125,0;115,0;105,0;465,0;118,0;220,0;610,0;18,5;1015,8;88,2;28,5;0,94;1,8;2,45;21,2;20,8
2000;8;120,0;110,0;100,0;470,0;112,0;210,0;600,0;20,4;1016,2;52,4;30,2;0,9;1,8;2,45;21,2;21,2
2000;9;125,0;115,0;105,0;470,0;118,0;220,0;610,0;17,3;1016,7;58,1;33,1;0,87;2,2;2,45;21,2;22,5
2000;10;130,0;120,0;110,0;480,0;125,0;230,0;620,0;13,1;1011,8;124,5;31,2;0,85;1,8;2,45;23,4;23,8
2000;11;135,0;125,0;115,0;480,0;130,0;240,0;630,0;8,9;1012,4;118,2;32,5;0,86;2,2;2,45;23,4;25,1
2000;12;138,0;128,0;118,0;480,0;135,0;250,0;640,0;6,6;1014,6;84,6;25,3;0,9;1,6;2,45;23,4;26,4
2001;1;140,0;125,0;120,0;480,0;135,0;255,0;640,0;5,6;1017,8;88,4;25,8;0,94;1,3;2,52;24,5;28,5
2001;2;142,0;128,0;122,0;480,0;138,0;260,0;635,0;6,6;1016,5;72,1;27,5;0,92;1,3;2,52;24,5;29,2
2001;3;145,0;130,0;125,0;475,0;140,0;265,0;630,0;10,0;1011,2;118,5;24,6;0,91;1,3;2,52;24,5;27,4
2001;4;148,0;132,0;128,0;470,0;142,0;270,0;625,0;10,5;1012,4;84,2;25,6;0,89;1,8;2,52;24,0;26,5
2001;5;150,0;135,0;130,0;465,0;145,0;275,0;620,0;15,9;1016,1;52,4;28,4;0,87;2,3;2,52;24,0;25,2
2001;6;145,0;130,0;125,0;460,0;135,0;265,0;610,0;17,5;1017,5;48,1;27,5;0,86;2,1;2,52;24,0;24,8
2001;7;135,0;125,0;115,0;455,0;125,0;250,0;600,0;19,4;1016,9;74,2;24,8;0,87;2,1;2,52;23,2;24,1
2001;8;125,0;115,0;105,0;450,0;115,0;240,0;590,0;20,2;1016,4;58,6;25,6;0,89;1,9;2,52;23,2;24,5
2001;9;128,0;118,0;108,0;450,0;118,0;250,0;600,0;14,9;1014,8;72,1;25,9;0,91;1,5;2,52;23,2;26,2
2001;10;132,0;122,0;112,0;455,0;122,0;260,0;610,0;15,4;1013,2;68,4;20,7;0,9;1,8;2,52;22,1;28,1
2001;11;135,0;125,0;115,0;460,0;125,0;270,0;620,0;7,8;1015,4;52,4;18,8;0,89;1,2;2,52;22,1;30,2
2001;12;138,0;128,0;118,0;460,0;130,0;280,0;630,0;3,6;1021,5;42,1;18,6;0,89;1,4;2,52;22,1;32,5
2002;1;135,0;128,0;115,0;460,0;128,0;285,0;635,0;5,7;1020,2;52,4;19,4;0,89;2,2;2,61;21,5;34,2
2002;2;132,0;125,0;112,0;460,0;125,0;280,0;640,0;8,0;1018,7;88,1;20,2;0,87;2,2;2,61;21,5;33,1
2002;3;130,0;122,0;110,0;465,0;122,0;275,0;650,0;10,1;1017,2;42,6;23,7;0,87;2,2;2,61;21,5;32,4
2002;4;128,0;120,0;108,0;470,0;120,0;270,0;660,0;11,9;1013,8;52,1;25,6;0,88;2,0;2,61;21,8;30,8
2002;5;125,0;118,0;105,0;470,0;118,0;265,0;670,0;14,4;1014,2;78,4;25,1;0,92;1,4;2,61;21,8;28,2
2002;6;120,0;115,0;100,0;475,0;112,0;255,0;680,0;19,0;1017,1;55,2;24,2;0,96;1,5;2,61;21,8;27,5
2002;7;115,0;110,0;95,0;480,0;105,0;245,0;690,0;19,3;1016,5;62,1;25,7;0,99;1,6;2,61;22,4;27,1
2002;8;112,0;105,0;92,0;480,0;102,0;240,0;700,0;19,8;1017,2;74,8;26,6;0,98;1,8;2,61;22,4;27,8
2002;9;115,0;108,0;95,0;485,0;105,0;250,0;710,0;16,4;1018,4;48,2;28,3;0,98;1,8;2,61;22,4;30,5
2002;10;118,0;112,0;98,0;490,0;108,0;260,0;720,0;12,9;1015,3;88,6;27,6;0,98;1,9;2,61;23,1;33,2
2002;11;122,0;115,0;102,0;490,0;112,0;270,0;730,0;10,0;1016,8;92,4;24,2;1,0;2,1;2,61;23,1;35,4
2002;12;125,0;118,0;105,0;495,0;115,0;280,0;740,0;7,4;1019,1;82,1;28,3;1,02;2,3;2,61;23,1;38,1
2003;1;128,0;120,0;108,0;500,0;120,0;285,0;750,0;3,9;1018,9;68,4;31,2;1,06;2,0;2,7;24,2;42,1
2003;2;132,0;125,0;112,0;505,0;125,0;290,0;760,0;4,1;1021,4;52,1;32,7;1,08;2,6;2,7;24,2;44,5
2003;3;135,0;128,0;115,0;510,0;130,0;300,0;780,0;9,9;1021,2;28,4;30,2;1,08;2,6;2,7;24,2;41,2
2003;4;140,0;132,0;120,0;515,0;135,0;310,0;800,0;11,8;1014,5;52,6;24,6;1,08;1,8;2,7;24,8;38,5
2003;5;145,0;135,0;125,0;520,0;140,0;320,0;820,0;15,3;1014,8;68,1;25,6;1,15;1,8;2,7;24,8;35,2
2003;6;155,0;145,0;135,0;530,0;150,0;330,0;850,0;22,2;1017,9;32,4;27,5;1,17;1,9;2,7;24,8;34,8
2003;7;175,0;165,0;155,0;550,0;170,0;350,0;900,0;21,5;1016,4;48,2;28,4;1,15;1,9;2,7;23,5;48,2
2003;8;195,0;185,0;175,0;580,0;190,0;380,0;950,0;24,0;1017,1;35,4;29,8;1,13;1,9;2,7;23,5;55,4
2003;9;190,0;180,0;170,0;570,0;185,0;370,0;930,0;17,5;1018,5;42,1;27,1;1,12;2,1;2,7;23,5;42,1
2003;10;185,0;175,0;165,0;560,0;180,0;360,0;910,0;11,2;1014,2;74,8;29,6;1,17;2,2;2,7;24,1;40,8
2003;11;180,0;170,0;160,0;550,0;175,0;350,0;890,0;9,3;1014,8;62,4;28,8;1,17;2,3;2,7;24,1;42,5
2003;12;175,0;165,0;155,0;545,0;170,0;340,0;870,0;5,6;1017,3;55,8;29,8;1,23;2,2;2,7;24,1;45,1
2004;1;170,0;160,0;150,0;540,0;165,0;330,0;860,0;5,2;1017,4;72,1;31,2;1,26;2,3;2,8;24,5;38,2
2004;2;165,0;155,0;145,0;535,0;160,0;320,0;850,0;5,7;1016,8;58,4;30,8;1,26;1,8;2,8;24,5;37,1
2004;3;160,0;150,0;140,0;530,0;155,0;310,0;840,0;7,6;1015,9;42,6;33,7;1,23;1,7;2,8;24,5;35,4
2004;4;155,0;145,0;135,0;525,0;150,0;300,0;830,0;11,7;1013,4;62,1;33,4;1,2;2,1;2,8;24,8;33,2
2004;5;150,0;140,0;130,0;520,0;145,0;290,0;820,0;13,7;1015,7;55,4;37,7;1,2;2,4;2,8;24,8;32,1
2004;6;140,0;130,0;120,0;510,0;135,0;280,0;800,0;18,6;1018,2;38,2;35,2;1,21;2,4;2,8;24,8;31,8
2004;7;130,0;120,0;110,0;500,0;125,0;260,0;780,0;19,2;1016,8;52,4;38,2;1,23;2,3;2,8;25,4;32,4
2004;8;125,0;115,0;105,0;495,0;115,0;250,0;760,0;20,4;1015,4;88,1;43,1;1,22;2,3;2,8;25,4;32,8
2004;9;123,0;112,0;103,0;495,0;112,0;245,0;750,0;17,6;1018,1;32,4;43,0;1,22;2,1;2,8;25,4;34,1
2004;10;120,0;110,0;100,0;500,0;110,0;240,0;740,0;14,0;1014,7;94,2;49,7;1,25;2,1;2,8;26,8;36,5
2004;11;123,0;112,0;103,0;505,0;112,0;250,0;750,0;7,3;1016,2;48,6;44,1;1,3;2,0;2,8;26,8;38,2
2004;12;127,0;115,0;107,0;510,0;115,0;260,0;760,0;4,9;1022,4;52,1;39,6;1,34;2,1;2,8;26,8;40,4
2005;1;125,0;112,0;105,0;515,0;112,0;265,0;770,0;3,7;1023,1;38,2;44,2;1,31;1,6;2,9;27,5;42,5
2005;2;123,0;110,0;103,0;515,0;110,0;270,0;780,0;3,3;1019,5;42,1;45,4;1,3;1,6;2,9;27,5;45,8
2005;3;120,0;108,0;100,0;510,0;108,0;275,0;790,0;8,2;1016,4;32,4;53,1;1,32;1,9;2,9;27,5;48,2
2005;4;123,0;112,0;103,0;515,0;110,0;280,0;800,0;11,5;1014,2;68,4;51,8;1,29;1,8;2,9;29,2;46,1
2005;5;127,0;115,0;107,0;520,0;115,0;290,0;810,0;15,2;1016,8;52,1;48,6;1,27;1,7;2,9;29,2;44,2
2005;6;130,0;118,0;110,0;525,0;118,0;300,0;820,0;20,2;1017,4;38,4;54,4;1,22;1,7;2,9;29,2;45,8
2005;7;127,0;115,0;107,0;520,0;115,0;295,0;810,0;20,5;1016,2;42,1;57,5;1,2;1,7;2,9;31,5;48,1
2005;8;123,0;110,0;103,0;515,0;110,0;285,0;800,0;19,1;1016,8;52,4;64,0;1,22;2,0;2,9;31,5;44,5
2005;9;130,0;115,0;110,0;525,0;115,0;300,0;820,0;18,0;1017,5;48,6;62,9;1,22;2,2;2,9;31,5;49,2
2005;10;133,0;118,0;113,0;530,0;120,0;310,0;840,0;14,8;1015,2;32,1;58,5;1,2;1,8;2,9;34,2;55,4
2005;11;137,0;122,0;117,0;535,0;125,0;320,0;860,0;7,2;1018,4;55,4;55,2;1,18;1,6;2,9;34,2;58,1
2005;12;140,0;125,0;120,0;540,0;130,0;330,0;880,0;3,4;1020,1;58,2;56,8;1,19;1,5;2,9;34,2;62,4
2006;1;143,0;128,0;123,0;540,0;135,0;340,0;890,0;2,7;1015,2;42,1;63,2;1,21;2,0;3,01;36,1;65,2
2006;2;147,0;132,0;127,0;545,0;140,0;350,0;900,0;4,5;1017,8;38,4;60,2;1,19;2,0;3,01;36,1;68,4
2006;3;150,0;135,0;130,0;550,0;145,0;360,0;920,0;7,7;1014,9;88,2;62,2;1,2;1,7;3,01;36,1;62,1
2006;4;155,0;140,0;135,0;555,0;150,0;370,0;940,0;11,5;1015,4;42,1;70,3;1,23;1,7;3,01;35,4;55,4
2006;5;160,0;145,0;140,0;560,0;155,0;380,0;960,0;15,1;1015,1;74,8;70,1;1,28;2,0;3,01;35,4;48,2
2006;6;170,0;155,0;150,0;570,0;165,0;395,0;980,0;20,1;1018,7;28,4;68,8;1,26;1,9;3,01;35,4;45,1
2006;7;180,0;165,0;160,0;580,0;175,0;410,0;1000,0;24,1;1017,9;32,1;74,3;1,27;1,9;3,01;34,2;44,8
2006;8;190,0;175,0;170,0;590,0;185,0;425,0;1050,0;18,3;1014,2;84,2;73,1;1,28;1,9;3,01;34,2;43,2
2006;9;200,0;185,0;180,0;600,0;195,0;440,0;1100,0;18,9;1017,8;52,1;62,1;1,27;1,2;3,01;34,2;42,1
2006;10;210,0;195,0;190,0;610,0;205,0;460,0;1150,0;15,2;1016,4;68,4;57,8;1,26;1,2;3,01;33,5;45,8
2006;11;220,0;205,0;200,0;620,0;215,0;480,0;1200,0;10,3;1017,2;72,1;58,9;1,29;1,4;3,01;33,5;48,2
2006;12;230,0;215,0;210,0;630,0;225,0;500,0;1250,0;5,4;1024,1;62,4;62,3;1,32;1,5;3,01;33,5;52,1
2007;1;235,0;220,0;215,0;640,0;230,0;510,0;1270,0;7,5;1020,4;58,2;54,2;1,3;1,2;3,12;32,8;48,2
2007;2;245,0;230,0;225,0;650,0;240,0;520,0;1300,0;8,0;1016,2;72,1;58,2;1,31;1,0;3,12;32,8;45,1
2007;3;260,0;240,0;240,0;660,0;255,0;540,0;1350,0;8,9;1018,5;84,6;62,2;1,32;1,1;3,12;32,8;42,4
2007;4;275,0;250,0;255,0;675,0;270,0;570,0;1400,0;15,0;1019,2;12,4;67,5;1,35;1,3;3,12;33,2;38,2
2007;5;270,0;245,0;250,0;670,0;265,0;560,0;1380,0;15,2;1014,5;88,2;67,4;1,35;1,1;3,12;33,2;35,1
2007;6;280,0;255,0;260,0;680,0;275,0;580,0;1350,0;18,1;1016,8;74,1;71,1;1,34;1,2;3,12;33,2;34,8
2007;7;295,0;270,0;275,0;700,0;290,0;600,0;1300,0;18,7;1014,2;82,4;77,0;1,37;1,1;3,12;34,5;36,2
2007;8;315,0;290,0;295,0;750,0;310,0;650,0;1250,0;18,7;1015,7;78,1;70,7;1,36;1,3;3,12;34,5;38,4
2007;9;305,0;280,0;285,0;740,0;300,0;630,0;1220,0;15,7;1017,4;52,4;77,2;1,39;1,5;3,12;34,5;42,1
2007;10;295,0;270,0;275,0;720,0;290,0;610,0;1200,0;12,0;1017,1;38,2;82,5;1,42;2,0;3,12;36,8;48,2
2007;11;290,0;265,0;270,0;700,0;285,0;590,0;1180,0;6,7;1016,4;42,1;92,4;1,47;2,4;3,12;36,8;55,4
2007;12;275,0;250,0;255,0;680,0;270,0;570,0;1150,0;4,6;1023,8;68,4;91,2;1,46;2,6;3,12;36,8;62,1
2008;1;265,0;245,0;245,0;670,0;260,0;550,0;1130,0;6,5;1021,2;74,8;92,1;1,47;2,8;3,25;38,2;68,4
2008;2;255,0;235,0;235,0;660,0;250,0;530,0;1100,0;7,1;1022,5;42,1;94,6;1,48;2,8;3,25;38,2;72,1
2008;3;245,0;225,0;225,0;650,0;240,0;510,0;1050,0;8,4;1012,4;88,2;103,5;1,55;3,2;3,25;38,2;75,8
2008;4;235,0;215,0;215,0;640,0;230,0;480,0;1000,0;10,1;1013,8;82,4;109,1;1,58;3,0;3,25;40,5;78,2
2008;5;225,0;205,0;205,0;630,0;220,0;450,0;950,0;15,5;1014,2;74,1;122,8;1,56;3,3;3,25;40,5;82,1
2008;6;205,0;185,0;185,0;610,0;200,0;400,0;850,0;18,1;1016,7;52,1;132,3;1,56;3,6;3,25;40,5;88,4
2008;7;185,0;165,0;165,0;580,0;180,0;350,0;750,0;19,5;1016,2;58,4;132,7;1,58;3,6;3,25;44,2;92,1
2008;8;175,0;155,0;155,0;560,0;170,0;320,0;700,0;19,5;1016,1;62,1;113,1;1,5;3,2;3,25;44,2;85,4
2008;9;170,0;150,0;150,0;540,0;165,0;300,0;650,0;15,5;1018,2;48,2;99,2;1,44;3,0;3,25;44,2;82,1
2008;10;160,0;140,0;140,0;520,0;155,0;270,0;600,0;12,3;1014,5;72,4;72,8;1,33;2,7;3,25;48,1;78,4
2008;11;150,0;130,0;130,0;500,0;145,0;250,0;580,0;7,5;1015,4;68,1;54,4;1,27;1,6;3,25;48,1;65,2
2008;12;140,0;120,0;120,0;490,0;135,0;230,0;550,0;3,3;1018,7;55,4;43,2;1,34;1,0;3,25;48,1;55,1
2009;1;145,0;125,0;125,0;500,0;135,0;240,0;570,0;1,8;1015,8;62,1;44,5;1,32;0,7;3,35;45,2;52,4
2009;2;150,0;130,0;130,0;505,0;140,0;255,0;600,0;4,8;1014,2;55,4;43,3;1,28;1,0;3,35;45,2;48,2
2009;3;155,0;135,0;135,0;510,0;145,0;270,0;630,0;8,8;1016,7;42,1;46,5;1,31;0,6;3,35;45,2;42,1
2009;4;153,0;133,0;133,0;515,0;143,0;265,0;640,0;12,7;1015,1;68,2;50,1;1,32;0,1;3,35;38,4;38,4
2009;5;150,0;130,0;130,0;520,0;140,0;260,0;650,0;16,3;1015,9;52,4;57,3;1,36;-0,3;3,35;38,4;35,1
2009;6;145,0;125,0;125,0;515,0;135,0;255,0;640,0;18,6;1017,2;58,1;68,3;1,4;-0,5;3,35;38,4;32,4
2009;7;140,0;120,0;120,0;510,0;130,0;250,0;630,0;20,3;1016,4;52,4;64,3;1,41;-0,7;3,35;32,1;34,8
2009;8;135,0;115,0;115,0;505,0;125,0;245,0;620,0;21,5;1017,5;38,2;72,5;1,43;-0,2;3,35;32,1;35,2
2009;9;140,0;120,0;120,0;510,0;130,0;260,0;640,0;17,4;1018,9;32,1;67,5;1,46;-0,4;3,35;32,1;38,1
2009;10;145,0;125,0;125,0;520,0;135,0;275,0;660,0;13,5;1015,4;52,4;72,8;1,48;-0,2;3,35;30,5;42,1
2009;11;150,0;130,0;130,0;525,0;140,0;290,0;680,0;9,7;1012,1;94,2;76,4;1,49;0,4;3,35;30,5;45,8
2009;12;155,0;135,0;135,0;530,0;145,0;310,0;700,0;3,9;1011,5;74,8;74,5;1,46;0,9;3,35;30,5;48,2
2010;1;160,0;140,0;140,0;535,0;150,0;320,0;720,0;1,4;1012,4;52,4;76,2;1,43;1,1;3,42;31,2;50,1
2010;2;165,0;145,0;145,0;540,0;155,0;330,0;740,0;4,2;1010,5;58,1;73,5;1,37;1,3;3,42;31,2;52,4
2010;3;170,0;150,0;150,0;545,0;160,0;345,0;760,0;8,3;1017,8;42,1;78,8;1,36;1,6;3,42;31,2;48,2
2010;4;175,0;155,0;155,0;555,0;165,0;360,0;780,0;11,7;1016,2;38,4;84,1;1,34;1,7;3,42;32,5;45,1
2010;5;185,0;165,0;165,0;570,0;175,0;380,0;820,0;13,4;1013,8;72,1;75,8;1,26;1,6;3,42;32,5;42,1
2010;6;205,0;185,0;185,0;590,0;195,0;410,0;880,0;18,6;1017,1;62,4;75,3;1,22;1,5;3,42;32,5;40,8
2010;7;225,0;205,0;205,0;610,0;215,0;450,0;950,0;21,7;1015,4;48,2;75,1;1,28;1,7;3,42;34,1;42,4
2010;8;245,0;225,0;225,0;630,0;235,0;500,0;1050,0;19,4;1016,2;52,1;77,0;1,29;1,4;3,42;34,1;43,1
2010;9;255,0;235,0;235,0;645,0;245,0;530,0;1100,0;16,3;1017,9;55,4;77,8;1,31;1,4;3,42;34,1;45,8
2010;10;265,0;245,0;245,0;660,0;255,0;560,0;1150,0;12,0;1014,1;68,1;82,5;1,39;1,5;3,42;35,8;48,2
2010;11;270,0;250,0;250,0;670,0;260,0;580,0;1180,0;6,5;1010,8;88,4;85,5;1,37;1,6;3,42;35,8;52,4
2010;12;275,0;255,0;255,0;675,0;265,0;600,0;1200,0;0,6;1011,2;72,1;91,5;1,32;1,8;3,42;35,8;58,1
2011;1;280,0;260,0;260,0;680,0;270,0;610,0;1220,0;3,8;1018,2;32,1;96,5;1,34;1,8;3,5;37,2;55,4
2011;2;285,0;265,0;265,0;685,0;275,0;620,0;1240,0;6,7;1017,4;38,4;103,7;1,36;1,7;3,5;37,2;54,1
2011;3;270,0;250,0;250,0;670,0;260,0;590,0;1200,0;10,1;1020,1;22,1;114,5;1,4;2,0;3,5;37,2;52,8
2011;4;255,0;235,0;235,0;660,0;245,0;560,0;1150,0;14,8;1017,5;15,4;123,1;1,44;2,1;3,5;39,5;50,1
2011;5;245,0;225,0;225,0;650,0;235,0;530,0;1100,0;17,6;1016,2;28,2;114,5;1,43;2,0;3,5;39,5;48,2
2011;6;235,0;215,0;215,0;640,0;225,0;500,0;1050,0;17,8;1015,4;62,4;113,8;1,44;2,1;3,5;39,5;47,1
2011;7;225,0;205,0;205,0;630,0;215,0;470,0;1000,0;18,1;1013,8;88,1;116,5;1,43;1,9;3,5;41,2;46,2
2011;8;220,0;200,0;200,0;625,0;210,0;450,0;980,0;20,2;1015,1;68,4;110,1;1,43;2,2;3,5;41,2;46,8
2011;9;230,0;210,0;210,0;635,0;220,0;470,0;1000,0;18,3;1017,2;42,1;112,8;1,38;2,2;3,5;41,2;48,5
2011;10;240,0;220,0;220,0;645,0;230,0;490,0;1030,0;13,3;1016,8;48,2;108,7;1,37;2,3;3,5;43,5;52,1
2011;11;250,0;230,0;230,0;655,0;240,0;510,0;1060,0;9,6;1018,9;55,4;110,5;1,35;2,5;3,5;43,5;55,4
2011;12;255,0;235,0;235,0;660,0;245,0;530,0;1100,0;7,4;1022,5;94,2;107,7;1,32;2,5;3,5;43,5;58,2
2012;1;260,0;240,0;240,0;665,0;250,0;540,0;1120,0;5,5;1022,1;48,2;111,2;1,29;2,3;3,62;44,8;52,1
2012;2;265,0;245,0;245,0;670,0;255,0;555,0;1150,0;1,0;1021,4;15,4;119,1;1,32;2,3;3,62;44,8;75,4
2012;3;270,0;250,0;250,0;675,0;260,0;570,0;1180,0;11,1;1021,8;22,1;124,5;1,32;2,3;3,62;44,8;55,8
